kind,doc_id,doc_saint,doc_title_english,doc_title_geez,doc_title_amharic,doc_title_transliteration,section_id,section_title_english,section_title_geez,section_title_amharic,section_title_transliteration,block_id,block_type,speaker,geez,amharic,english,transliteration,dynamic,overrideId,optional
block,,,,,,,,,,,,ep-ps-2,prayer,priest,,,"The sun is His, the moon is His, and the stars are the work of His hands. Clouds are His messengers, winds are His chariots and fire is the wall of His house.",,\N,\N,\N
block,,,,,,,,,,,,ep-ps-3,prayer,priest,,,"Water is the roof of His house, the gables of it are snow, light is His tabernacle, the lightning of glory is the veil of His hiding-place, and His going is in the air.",,\N,\N,\N
block,,,,,,,,,,,,ep-ps-4,prayer,priest,,,"The voice of His speech is in the thunderbolt, the sound of thunder is in the chariots, the sea is His band-maid, the water-flood of the rivers is His servant, and cold and frost do His pleasure.",,\N,\N,\N
block,,,,,,,,,,,,ep-ps-5,prayer,priest,,,"He causes the clouds to ascend from the ends of the earth, He makes lightning for the rain, He pours rain like drops from a strainer, He scatters the hoarfrost like ashes, he casts forth His ice like morsels, and He causes the grass to grow for the cattle.",,\N,\N,\N
block,,,,,,,,,,,,ep-ps-6,prayer,priest,,,"He does according to His thought, completes what He began, orders according to His will. He makes sad and gives pleasure, impoverishes and enriches, dishonours and honours, kills and quickens, makes sick and heals, judges and justifies.",,\N,\N,\N
block,,,,,,,,,,,,ep-ps-7,prayer,priest,,,"He spares him whom He wills to spare, He distresses him whom He wills to distress, He will have mercy on whom He will have mercy, will have compassion on whom He will have compassion.",,\N,\N,\N
block,,,,,,,,,,,,ep-ps-8,response,congregation,,,"According to Thy mercy, our God, and not according to our sins.",,\N,\N,\N
block,,,,,,,,,,,,ep-ps-9,prayer,priest,,,"He is kind without evil, meek without revenge, patient without wrath, righteous without sin, pure without filthiness, and upright without perversion.",,\N,\N,\N
block,,,,,,,,,,,,ep-ps-10,prayer,priest,,,"He is the giver without hindrance, gracious without stint, the forgiver of sin without revenge or envy.",,\N,\N,\N
block,,,,,,,,,,,,ep-ps-11,prayer,priest,,,"He is near unto those who call upon Him, benefactor unto those who fear him, He is the open door unto those who knock for Him, the prepared way without a stumbling-block and the pure path without thorns.",,\N,\N,\N
block,,,,,,,,,,,,ep-ps-12,prayer,priest,,,"He alone is God, the God of gods and Lord of lords.",,\N,\N,\N
section,,,,,,,saint-epiphanius-intercessions,Intercessions,,,,,,,,,,,,,
block,,,,,,,,,,,,ep-int-1,prayer,priest,,,"After this, when He saw that the blood of the holy prophets, from the blood of the righteous Abel unto the blood of Zacharias Son of Barachias, was not sufficient for the salvation of the world, He sent unto us His Son, a Saviour and Redeemer, to save us, redeem us, and take before Him the remembrance of the living and the dead.",,\N,\N,\N
block,,,,,,,,,,,,ap-int-1,prayer,deacon,በአንተ ብፁዕ ወቅዱስ አባ ማትያስ፣ ወብፁዕ ሊቀ ጳጳስነ አባ ጴጥሮስ፣,ብፁዕ ቅዱስ ስለሚሆን ስለ ርእሰ ሊቃነ ጳጳሳት ስለ አባ ማትያስ ብፁዕም ስለሚሆን ስለ አባ ጴጥሮስ በጸሎታቸውና,"For the sake of the blessed and holy Patriarch Abba and the blessed Archbishop Abba, while they yet give Thee thanks in their prayer and their supplications: Stephen the first martyr, Zacharias the priest and John the Baptist.",Beinte bitsu'i weqidus Abba Matyas webitsu'i leeqe papasine Abba Petros,\N,\N,\N
