kind,doc_id,doc_saint,doc_title_english,doc_title_geez,doc_title_amharic,doc_title_transliteration,section_id,section_title_english,section_title_geez,section_title_amharic,section_title_transliteration,block_id,block_type,speaker,geez,amharic,english,transliteration,dynamic,overrideId,optional
block,,,,,,,,,,,,cy-in-4,prayer,priest,,,"Through Thy mercy Thou reconciles the heretics, strengthens with Thy word those who return to Thee, causes the heretics to return that they may walk in Thy way, gatherers the scattered to enter into Thy paradise.",,\N,\N,\N
block,,,,,,,,,,,,cy-in-5,prayer,priest,,,Those among Thy people who committed sin Thou causes to return unto Thy faith.,,\N,\N,\N
block,,,,,,,,,,,,cy-in-6,prayer,priest,,,"O Lord, Thou strengthens the weak in spirit that all who live on earth may know that Thou art God and know Thy Son Jesus Christ Whom Thou sent, Thy beloved Son Whom Thou loves and who was born from Thee. Glory be to Thee with Him and with the invisible Holy Spirit, unto the ages of ages.",,\N,\N,\N
block,,,,,,,,,,,,cy-in-7,rubric,\N,,,Deacon: Let us give heed.,,\N,\N,\N
block,,,,,,,,,,,,cy-in-8,prayer,priest,,,"We offer before Thee this pure and holy offering for the sake of Abel Seth, Enoch, and Melchisedec, for the sake of Abraham, Isaac and Jacob, for the sake of Moses, Aaron and all the prophets.",,\N,\N,\N
block,,,,,,,,,,,,cy-in-9,prayer,priest,,,"For the sake of Simon Peter, John the Baptist and all the apostles.",,\N,\N,\N
block,,,,,,,,,,,,cy-in-10,prayer,priest,,,"For the sake of David, Hezekiah, Josiah, King Constantine and all the kings who have gone to their rest in the true faith.",,\N,\N,\N
block,,,,,,,,,,,,cy-in-11,prayer,priest,,,"For the sake of all the bishops, priests, deacons, assistant deacons, anagnosts, young men and virgins.",,\N,\N,\N
block,,,,,,,,,,,,cy-in-12,prayer,priest,,,For the sake of all souls in which the Holy Spirit dwelt and to which the perfect Spirit of life was given. For the sake of all creatures formed after the likeness of our Lord Jesus Christ Whom Thou loves.,,\N,\N,\N
block,,,,,,,,,,,,cy-in-13,prayer,priest,,,For the sake of all holy men for whom this offering has been prepared and whom they have led unto Thy holy church and have drawn near before Thy great and holy altar.,,\N,\N,\N
block,,,,,,,,,,,,cy-in-14,prayer,priest,,,"For the sake of all travelers, and wanderers on the face of the whole earth in true faith, and for the sake of those who have departed from this world.",,\N,\N,\N
block,,,,,,,,,,,,cy-in-15,prayer,priest,,,"For the sake of every mouth and tongue which believed in the name of our Lord Jesus Christ Thy dear Son Whom Thou loves. Glory be to Thee with Him and with the invisible Holy Spirit, unto the ages of ages.",,\N,\N,\N
block,,,,,,,,,,,,ap-int-1,prayer,deacon,በአንተ ብፁዕ ወቅዱስ አባ ማትያስ፣ ወብፁዕ ሊቀ ጳጳስነ አባ ጴጥሮስ፣,ብፁዕ ቅዱስ ስለሚሆን ስለ ርእሰ ሊቃነ ጳጳሳት ስለ አባ ማትያስ ብፁዕም ስለሚሆን ስለ አባ ጴጥሮስ በጸሎታቸውና,"For the sake of the blessed and holy Patriarch Abba and the blessed Archbishop Abba, while they yet give Thee thanks in their prayer and their supplications: Stephen the first martyr, Zacharias the priest and John the Baptist.",Beinte bitsu'i weqidus Abba Matyas webitsu'i leeqe papasine Abba Petros,\N,\N,\N
block,,,,,,,,,,,,ap-int-2,prayer,deacon,እንዘ የአኵቱከ በጸሎቶሙ ወበስእለቶሙ እስጢፋኖስ ቀዳሜ ሰማዕት፣ ዘካርያስ ካህን ወዮሐንስ መጥምቅ,በልመናቸው ሲያመስግኑህ የሰማዕታት መጀመሪያ እስጢፋኖስ። ካህን ዘካርያስና መጥምቁ ዩሐንስ,"And for the sake of all the saints and martyrs who have gone to their rest in faith: Matthew and Mark, Luke, and John, the four Evangelists; Mary the mother of God, Simon Peter and Andrew, James and John, Philip and Bartholomew, Thomas and Matthew, Thaddaeus and Nathanael, James the son of Alphaeus and Matthias, the twelve Apostles; and James the Apostle, brother of the Lord, Bishop of Jerusalem: Paul, Timothy, Silas, and Barnabas; Titus, Philemon, and Clement, the seventy-two disciples, the five hundred brethren, the three hundred and eighteen Orthodox; may the prayers of them all come unto us and visit us together with them.",inze ye'akwutuke betselotomu webes'iletomu Isteefanos qedame sema'it. Zekarias kahin weyohanis metmiq.,\N,\N,\N
block,,,,,,,,,,,,ap-int-3,prayer,deacon,,,"And remember Thou the peace of the universal apostolic church, which was made by Christ through His precious blood.",,\N,\N,\N
block,,,,,,,,,,,,ap-int-4,prayer,deacon,,,"Remember, Thou, all the patriarchs, archbishops, bishops, priests, and deacons who keep straight the way of the true word.",,\N,\N,\N
block,,,,,,,,,,,,cy-in-17,rubric,\N,,,At this time he shall mention the names of those who have recently fallen asleep.,,\N,\N,\N
block,,,,,,,,,,,,ap-int-5r,rubric,\N,\N,\N,The assistant priest shall say the Prayer of Benediction of St. Basil.,\N,\N,\N,\N
block,,,,,,,,,,,,ap-int-5,prayer,priest,,,"O holy Trinity, Father, Son, and Holy Spirit, bless Thy people, beloved Christians, with heavenly and earthly blessings.",,\N,\N,\N
block,,,,,,,,,,,,ap-int-6,prayer,priest,,,"And send upon us the grace of the Holy Spirit, and keep the doors of Thy holy church open unto us in mercy and in faith; and perfect unto us the faith of Thy holy Trinity unto our last breath.",,\N,\N,\N
block,,,,,,,,,,,,ap-int-7,prayer,priest,,,"O my Lord Jesus Christ, visit the sick of Thy people; heal them; and guide our fathers and our brethren who have journeyed, becoming strangers: bring them back to their dwelling places in peace and in health.",,\N,\N,\N
block,,,,,,,,,,,,ap-int-8,prayer,priest,,,"Bless the airs of heaven, and the rains and the fruits of the earth of this year, in accordance with Thy grace, and make joy and gladness prevail perpetually on the face of the earth.",,\N,\N,\N
block,,,,,,,,,,,,ap-int-9,prayer,priest,,,And confirm for us Thy peace. Turn the hearts of mighty kings to deal kindly with us always.,,\N,\N,\N
block,,,,,,,,,,,,ap-int-10,prayer,priest,,,"Grant peace to the scholars of the church, who are continually gathered in Thy holy church; to all, to each by their several names, in the presence of powerful rulers, O our God, increase Thy peace.",,\N,\N,\N
block,,,,,,,,,,,,ap-int-11,prayer,priest,,,"Rest the souls of our ancestors, both our brothers and sisters who have fallen asleep and gained their rest in the right faith.",,\N,\N,\N
block,,,,,,,,,,,,ap-int-12,prayer,priest,,,"And bless those who give gifts of incense, bread and wine, ointment and oil, decorations and reading books, and vessels for the sanctuary, that Christ our God may give them their reward in the heavenly Jerusalem.",,\N,\N,\N
block,,,,,,,,,,,,ap-int-13,prayer,priest,,,"And all of them that are assembled with us to entreat for mercy, Christ our God have mercy upon them: and all them that give alms before Thine awful and terrifying throne, receive.",,\N,\N,\N
block,,,,,,,,,,,,ap-int-14,prayer,priest,,,"And comfort every straitened soul, they who are in chains, and they who are in exile or captivity.",,\N,\N,\N
block,,,,,,,,,,,,ap-int-15,prayer,priest,,,"And them that are held in bitter servitude, our God, deliver them in Thy mercy. And all of them that have entrusted it to us to remember them in our supplications to Thee O our Master Jesus Christ, remember them in Thy heavenly kingdom, and remember me, thy sinful servant.",,\N,\N,\N
block,,,,,,,,,,,,ap-int-16,prayer,priest,ኦ እግዚኦ አድኅን ሕዝበከ ወባርክ ርስተከ,አቤቱ ሕዝብህን አድን ርስትህንም ባርክ።,"O Lord, save thy people and bless Thine inheritance, feed them and lift them up for ever.",O igzio adihin hizibike webarik risteke,\N,\N,\N
block,,,,,,,,,,,,cy-in-19,prayer,deacon,,,"Lord, pity and have mercy upon the patriarchs, archbishops, bishops, priests, deacons and all the Christian people.",,\N,\N,\N
block,,,,,,,,,,,,cy-in-20,prayer,priest,,,"For the sake of those and all our Lord and God Jesus Christ, Thy church worships Thee and Thy bride exalts Thee with the goodness of the high ones, with the sanctification of the seraphim, with the praise of the cherubim, with the thanksgiving of the angels, with the prayer of the watchful and with the perfection of the saints :",,\N,\N,\N
block,,,,,,,,,,,,cy-in-21,prayer,priest,,,"With the purity of Adam, with the sacrifice of Noah, with the hospitality of Abraham, with the kindness of Isaac and with the vision of Jacob :",,\N,\N,\N
block,,,,,,,,,,,,cy-in-22,prayer,priest,,,"With the imprisonment of Joseph, with the patience of Job, with the meekness of Moses and with the praise of Elijah :",,\N,\N,\N
block,,,,,,,,,,,,cy-in-23,prayer,priest,,,"With the love of the apostles, with the prayer of the saints, with the labour of the anchorites, with the righteousness of the sinless, and with the humility of the pure :",,\N,\N,\N
block,,,,,,,,,,,,cy-in-24,prayer,priest,,,"With the courage of the pure, with the bereavement of the bereaved, and with the righteousness of the perfect saints :",,\N,\N,\N
block,,,,,,,,,,,,cy-in-25,prayer,priest,,,"With the remoteness of the ends of the earth; with the depth of the sea's whirlpools, with the flash of lightning, and with the flight of the clouds :",,\N,\N,\N
block,,,,,,,,,,,,cy-in-26,prayer,priest,,,"With the thanksgiving of the angels, with the glory of the saints, with the purity of the watchful, with the agreement of the high ones, and with the light of the spiritual ones :",,\N,\N,\N
block,,,,,,,,,,,,cy-in-27,prayer,priest,,,"With the right hand of the priests, with the death of the martyrs, with the blood of the believers, and with the greatness of the luminous angels :",,\N,\N,\N
block,,,,,,,,,,,,cy-in-28,prayer,priest,,,"With the striking of Thy Son, with the suffering of Thine only One, and with Thine authority which holds all :",,\N,\N,\N
block,,,,,,,,,,,,cy-in-29,prayer,priest,,,And with the prayer which ascends to the Father of our Lord and Saviour Jesus Christ.,,\N,\N,\N
section,,,,,,,saint-cyril-institution,Institution Narrative,\N,\N,\N,,,,,,,,,,
block,,,,,,,,,,,,cy-inst-1,rubric,\N,,,At this time he shall offer incense.,,\N,\N,\N
block,,,,,,,,,,,,cy-inst-2,response,congregation,,,"Remember us, Lord, in Thy kingdom.",,\N,\N,\N
